gamma,k,fingerprint_length,n_recipients,sk,id,code,embedding_ratio,experiment_no,attack_strength,detection_confidence,accuracy,hellinger_distance,hellinger_distance_remaining,marital-status_relationship,marital-status_sex,relationship_sex,income_relationship,education_education-num,age_marital-status,education-num_occupation,age_relationship
2,300,128,20,104,0,tardos,0.5,1,0.7,1.0,0.375,0.670315524734664,0.0109465742039922,,,,,,,,
2,300,128,20,104,0,tardos,0.5,2,0.7,1.0,0.375,0.6696901811265042,0.0090705433795125,0.0213688728105975,0.0042151796573695,0.0181595018827988,,,,,
2,300,128,20,104,0,tardos,0.5,0,0.8,1.0,0.25,0.8103527462063042,0.0517637310315209,,,,,,,,
2,300,128,20,104,0,tardos,0.5,1,0.8,0.8671875,0.25,0.802066802006428,0.0103340100321402,,,,,,,,
2,300,128,20,104,0,tardos,0.5,2,0.8,0.890625,0.25,0.8006341607255815,0.0031708036279073,,,0.0181595018827988,,,,,
2,300,128,20,104,0,tardos,0.5,0,0.9,1.0,0.125,0.9344475247959304,0.0167128719389564,,,,,,,,
2,300,128,20,104,0,tardos,0.5,1,0.9,0.765625,0.125,0.933643606667412,0.0046541000111791,,,,,,,,
2,300,128,20,104,0,tardos,0.5,2,0.9,0.3515625,0.125,0.9333726839876988,0.0005902598154798,,,,,,,,
2,300,128,20,105,0,tardos,0.5,0,0.1,1.0,0.875,0.1536400612929474,0.0234308399534009,0.0202979962244132,0.0016761734284012,0.0176316866414158,0.0543670433787372,0.0011227250466746,,,
2,300,128,20,105,0,tardos,0.5,1,0.1,1.0,0.875,0.1523617297935871,0.0219558420695236,,,,0.0543670433787372,0.0011227250466746,,0.0171617713040668,0.0634129759507608
2,300,128,20,105,0,tardos,0.5,2,0.1,1.0,0.875,0.1537769074701816,0.023588739388671,0.0202979962244132,,,0.0543670433787372,0.0011227250466746,0.0501451299214885,,0.0634129759507608
2,300,128,20,105,0,tardos,0.5,0,0.2,1.0,0.8125,0.2111252739566769,0.0139065924458462,0.0202979962244132,0.0016761734284012,0.0176316866414158,0.0543670433787372,0.0011227250466746,,,
2,300,128,20,105,0,tardos,0.5,1,0.2,1.0,0.8125,0.2141393043116161,0.0176741303895201,,,,0.0543670433787372,0.0011227250466746,,0.0171617713040668,0.0634129759507608
2,300,128,20,105,0,tardos,0.5,2,0.2,1.0,0.8125,0.2202466975779954,0.0253083719724943,0.0202979962244132,,,0.0543670433787372,0.0011227250466746,,,
2,300,128,20,105,0,tardos,0.5,0,0.3,1.0,0.75,0.272902848474706,0.0085038842836899,0.0202979962244132,0.0016761734284012,0.0176316866414158,0.0543670433787372,0.0011227250466746,,,
2,300,128,20,105,0,tardos,0.5,1,0.3,1.0,0.75,0.2807000197457229,0.0191363905623494,,,,0.0543670433787372,,,0.0171617713040668,0.0634129759507608
2,300,128,20,105,0,tardos,0.5,2,0.3,1.0,0.75,0.2820242720960245,0.0209421892218515,0.0202979962244132,,,0.0543670433787372,0.0011227250466746,,,
2,300,128,20,105,0,tardos,0.5,0,0.4,1.0,0.625,0.4054785007574393,0.009130834595732,0.0202979962244132,0.0016761734284012,0.0176316866414158,,0.0011227250466746,,,
2,300,128,20,105,0,tardos,0.5,1,0.4,1.0,0.625,0.4126606153419248,0.0211010255698746,,,,0.0543670433787372,,,0.0171617713040668,
2,300,128,20,105,0,tardos,0.5,2,0.4,1.0,0.625,0.4134344077524753,0.022390679587459,0.0202979962244132,,,0.0543670433787372,0.0011227250466746,,,
2,300,128,20,105,0,tardos,0.5,0,0.5,1.0,0.5,0.5376180997713769,0.0091816423672361,0.0202979962244132,0.0016761734284012,0.0176316866414158,,,,,
2,300,128,20,105,0,tardos,0.5,1,0.5,1.0,0.5,0.5447702523955035,0.0245076837046502,,,,,,,0.0171617713040668,
2,300,128,20,105,0,tardos,0.5,2,0.5,1.0,0.5,0.5464182007763311,0.0280390016635665,0.0202979962244132,,,0.0543670433787372,,,,
2,300,128,20,105,0,tardos,0.5,0,0.6,1.0,0.4375,0.6039671213811133,0.0099178034527831,0.0202979962244132,0.0016761734284012,0.0176316866414158,,,,,
2,300,128,20,105,0,tardos,0.5,1,0.6,1.0,0.4375,0.6114190459210531,0.0285476148026326,,,,,,,,
2,300,128,20,105,0,tardos,0.5,2,0.6,1.0,0.4375,0.6127672223860674,0.0319180559651686,0.0202979962244132,,,0.0543670433787372,,,,
2,300,128,20,105,0,tardos,0.5,0,0.7,1.0,0.375,0.6698361056502647,0.009508316950794,0.0202979962244132,0.0016761734284012,0.0176316866414158,,,,,
2,300,128,20,105,0,tardos,0.5,1,0.7,1.0,0.375,0.6777884486883423,0.0333653460650268,,,,,,,,
2,300,128,20,105,0,tardos,0.5,2,0.7,1.0,0.375,0.6702524350497969,0.0107573051493908,0.0202979962244132,,,0.0543670433787372,,,,
2,300,128,20,105,0,tardos,0.5,0,0.8,0.921875,0.25,0.8007096609090224,0.003548304545112,,,0.0176316866414158,,,,,
2,300,128,20,105,0,tardos,0.5,1,0.8,0.9921875,0.25,0.8100568004661416,0.050284002330708,,,,,,,,
2,300,128,20,105,0,tardos,0.5,2,0.8,0.9609375,0.25,0.8026160752060469,0.0130803760302351,,,,,,,,
2,300,128,20,105,0,tardos,0.5,0,0.9,0.390625,0.125,0.9334392845658932,0.001589268488398,,,,,,,,
